"pair","pairwise_distance","frxfr"
"4556---9751",0.27007299270073,0.000142324442145114
"3171---9751",0.237870619946092,8.5394674589394e-05
"8189---9751",0.103616133518776,0.000170789325922974
"849---9751",0.21762349799733,8.5394674589394e-05
"175---9751",0.264646464646465,0.000142324442145114
"5394---9751",0.126468555632343,0.000113859558367254
"746---9751",0.228282828282828,0.00122399021175031
"15943---9751",0.12829169480081,0.00409894396168626
"1823---9751",0.0712347354138399,0.000113859558367254
"16455---9751",0.287889273356401,0.000284648884290228
"2912---6508",0.162640901771337,3.5955653618262e-05
"6172---6508",0.122434536447275,8.5394674589394e-05
"4782---6508",0.225016995241332,4.0450109402552e-05
"5183---6508",0.200273410799727,2.2472282593421e-05
"754---6508",0.185010128291695,1.7977826809131e-05
"4459---6508",0.288461538461538,2.2472282593421e-05
"248---6508",0.214846538187009,2.6966738377711e-05
"4172---6508",0.214909335124244,0.000193261631772209
"78---6508",0.223040857334226,0.00101574717983218
"6556---6508",0.197212543554007,4.4944565186842e-05
"2312---6508",0.208080808080808,0.000103372501398525
"8239---6508",0.146170063246662,3.1461194162001e-05
"14420---6508",0.121685927940177,3.5955653618262e-05
"6630---6508",0.199864038069341,0.000184272720203629
"8903---6508",0.290148448043185,1.3483371024841e-05
"27---6508",0.222520107238606,1.3483371024841e-05
"4556---6508",0.26312292358804,2.2472282593421e-05
"3171---6508",0.215870880968393,1.3483371024841e-05
"8189---6508",0.165169315825847,2.6966738377711e-05
"849---6508",0.158422459893048,1.3483371024841e-05
"175---6508",0.247471341874579,2.2472282593421e-05
"5394---6508",0.174603174603175,1.7977826809131e-05
"746---6508",0.215104517869184,0.000193261631772209
"15943---6508",0.177104377104377,0.00064720174309689
"1823---6508",0.179676985195155,1.7977826809131e-05
"16455---6508",0.278008298755187,4.4944565186842e-05
"9751---6508",0.189864864864865,8.5394674589394e-05
"2912---6829",0.156275303643725,3.5955653618262e-05
"6172---6829",0.1963406052076,8.5394674589394e-05
"4782---6829",0.202583276682529,4.0450109402552e-05
"5183---6829",0.234576271186441,2.2472282593421e-05
"754---6829",0.242934051144011,1.7977826809131e-05
"4459---6829",0.269938650306749,2.2472282593421e-05
"248---6829",0.225531914893617,2.6966738377711e-05
"4172---6829",0.241172551632245,0.000193261631772209
"78---6829",0.2375249500998,0.00101574717983218
"6556---6829",0.216309606081548,4.4944565186842e-05
"2312---6829",0.190700808625337,0.000103372501398525
"8239---6829",0.181184668989547,3.1461194162001e-05
"14420---6829",0.208642808912897,3.5955653618262e-05
"6630---6829",0.231649831649832,0.000184272720203629
"8903---6829",0.296644295302013,1.3483371024841e-05
"27---6829",0.208975217682518,1.3483371024841e-05
"4556---6829",0.236508994003997,2.2472282593421e-05
"3171---6829",0.234782608695652,1.3483371024841e-05
"8189---6829",0.204389574759945,2.6966738377711e-05
"849---6829",0.228609625668449,1.3483371024841e-05
"175---6829",0.247817327065144,2.2472282593421e-05
"5394---6829",0.231138545953361,1.7977826809131e-05
"746---6829",0.239464882943144,0.000193261631772209
"15943---6829",0.238446081714668,0.00064720174309689
"1823---6829",0.231951871657754,1.7977826809131e-05
"16455---6829",0.260151410874054,4.4944565186842e-05
"9751---6829",0.230254350736278,8.5394674589394e-05
"6508---6829",0.228246318607764,1.3483371024841e-05
"2912---134",0.17288961038961,0.000335586067797372
"6172---134",0.17536231884058,0.000797016885314964
"4782---134",0.211632796075683,0.000377534317704112
"5183---134",0.0988372093023256,0.000209741283805426
"754---134",0.190509420795534,0.000167793033898686
"4459---134",0.282234957020057,0.000209741283805426
"248---134",0.100301659125189,0.000251689533712166
"4172---134",0.120343839541547,0.00180377505443535
"78---134",0.115082201572552,0.00948030608969436
"6556---134",0.127472527472527,0.000419482567610852
"2312---134",0.203049203049203,0.00096480991921365
"8239---134",0.187185025197984,0.000293637783618906
"14420---134",0.186889818688982,0.000335586067797372
"6630---134",0.145114942528736,0.00171987855462187
"8903---134",0.300853485064011,0.000125844783991946
"27---134",0.205821205821206,0.000125844783991946
"4556---134",0.232590529247911,0.000209741283805426
"3171---134",0.122668579626973,0.000125844783991946
"8189---134",0.203401842664777,0.000251689533712166
"849---134",0.207586206896552,0.000125844783991946
"175---134",0.213983050847458,0.000209741283805426
"5394---134",0.193617021276596,0.000167793033898686
"746---134",0.121863799283154,0.00180377505443535
"15943---134",0.212309820193638,0.00604054901472234
"1823---134",0.209722222222222,0.000167793033898686
"16455---134",0.273843930635838,0.000419482567610852
"9751---134",0.21875,0.000797016885314964
"6508---134",0.198473282442748,0.000125844783991946
"6829---134",0.231673582295989,0.000125844783991946
"2912---185",0.165145228215768,0.000407497365241974
"6172---185",0.177809388335704,0.000967806211237938
"4782---185",0.231923601637108,0.000458434525493304
"5183---185",0.139402560455192,0.000254685842872317
"754---185",0.18856364874064,0.000203748682620987
"4459---185",0.289713086074178,0.000254685842872317
"248---185",0.109538002980626,0.000305623003123647
"4172---185",0.0705307262569833,0.00219029826534819
"78---185",0.0767620376831822,0.0115118001727369
"6556---185",0.13587347232207,0.000509371685744634
"2312---185",0.223648648648649,0.00117155489385893
"8239---185",0.191114245416079,0.000356560163374977
"14420---185",0.194274028629857,0.000407497365241974
"6630---185",0.169230769230769,0.00208842394484553
"8903---185",0.312110726643599,0.000152811522369657
"27---185",0.223346828609987,0.000152811522369657
"4556---185",0.237483085250338,0.000254685842872317
"3171---185",0.0631578947368421,0.000152811522369657
"8189---185",0.211111111111111,0.000305623003123647
"849---185",0.220805369127517,0.000152811522369657
"175---185",0.235537190082645,0.000254685842872317
"5394---185",0.198198198198198,0.000203748682620987
"746---185",0.0741777466759972,0.00219029826534819
"15943---185",0.214092140921409,0.00733495232466153
"1823---185",0.219661016949153,0.000203748682620987
"16455---185",0.280479210711769,0.000509371685744634
"9751---185",0.228010825439784,0.000967806211237938
"6508---185",0.213559322033898,0.000152811522369657
"6829---185",0.238896366083445,0.000152811522369657
"134---185",0.11849710982659,0.00142624073673124
"2912---76",0.214409722222222,0.000395512150633194
"6172---76",0.233883058470765,0.000939341327460078
"4782---76",0.266955266955267,0.000444951159364424
"5183---76",0.23752792256143,0.000247195084047827
"754---76",0.252161383285303,0.000197756075316597
"4459---76",0.316642120765832,0.000247195084047827
"248---76",0.237538940809969,0.000296634092779057
"4172---76",0.237573099415205,0.00212587773896798
"78---76",0.244704163623083,0.0111732178716668
"6556---76",0.229954614220877,0.000494390168095654
"2312---76",0.274874731567645,0.00113709740277667
"8239---76",0.253531598513011,0.000346073101510287
"14420---76",0.249819494584838,0.000395512150633194
"6630---76",0.248898678414097,0.00202699972150552
"8903---76",0.314013206162876,0.000148317066585367
"27---76",0.258756254467477,0.000148317066585367
"4556---76",0.272465851905104,0.000247195084047827
"3171---76",0.240645634629494,0.000148317066585367
"8189---76",0.251289609432572,0.000296634092779057
"849---76",0.277698863636364,0.000148317066585367
"175---76",0.249266862170088,0.000247195084047827
"5394---76",0.252569750367107,0.000197756075316597
"746---76",0.236977256052825,0.00212587773896798
"15943---76",0.264367816091954,0.00711921846904743
"1823---76",0.251436781609195,0.000197756075316597
"16455---76",0.303958177744586,0.000494390168095654
"9751---76",0.262931034482759,0.000939341327460078
"6508---76",0.261494252873563,0.000148317066585367
"6829---76",0.278291814946619,0.000148317066585367
"134---76",0.243243243243243,0.0013842924868245
"185---76",0.23781388478582,0.00168092657960356
"2912---6946",0.140681003584229,3.5955653618262e-05
"6172---6946",0.182780522230063,8.5394674589394e-05
"4782---6946",0.19141689373297,4.0450109402552e-05
"5183---6946",0.220408163265306,2.2472282593421e-05
"754---6946",0.230613621038436,1.7977826809131e-05
"4459---6946",0.279753761969904,2.2472282593421e-05
"248---6946",0.226173541963016,2.6966738377711e-05
"4172---6946",0.22809364548495,0.000193261631772209
"78---6946",0.235647530040053,0.00101574717983218
"6556---6946",0.212058212058212,4.4944565186842e-05
"2312---6946",0.100136239782016,0.000103372501398525
"8239---6946",0.199860237596087,3.1461194162001e-05
"14420---6946",0.186188219363575,3.5955653618262e-05
"6630---6946",0.222672064777328,0.000184272720203629
"8903---6946",0.297043010752688,1.3483371024841e-05
"27---6946",0.194481830417227,1.3483371024841e-05
"4556---6946",0.245169886742172,2.2472282593421e-05
"3171---6946",0.2280348759222,1.3483371024841e-05
"8189---6946",0.197377501725328,2.6966738377711e-05
"849---6946",0.193135935397039,1.3483371024841e-05
"175---6946",0.238383838383838,2.2472282593421e-05
"5394---6946",0.21771978021978,1.7977826809131e-05
"746---6946",0.227669576897247,0.000193261631772209
"15943---6946",0.218034993270525,0.00064720174309689
"1823---6946",0.225134408602151,1.7977826809131e-05
"16455---6946",0.269523151347616,4.4944565186842e-05
"9751---6946",0.236204576043069,8.5394674589394e-05
"6508---6946",0.209536601746138,1.3483371024841e-05
"6829---6946",0.1974479516454,1.3483371024841e-05
"134---6946",0.211658570437196,0.000125844783991946
"185---6946",0.229419703103914,0.000152811522369657
"76---6946",0.278887303851641,0.000148317066585367
