"N","frequency","BWPD","HMAa","seed"
120,"extremely skewed",0.593587888274228,0.292980705992166,1006
150,"equally abundant",0.799002133333334,0.493735798598624,1006
150,"intermediate",0.791274089566322,0.488627725823429,1006
150,"extremely skewed",0.79375101818592,0.376835089580859,1006
180,"equally abundant",0.795292333333333,0.491012038189092,1006
180,"intermediate",0.780934340006961,0.480353114751402,1006
180,"extremely skewed",0.679800810944881,0.345268775656722,1006
200,"equally abundant",0.8012712,0.489907041856118,1006
200,"intermediate",0.795327196571118,0.485022525823359,1006
200,"extremely skewed",0.893645077459127,0.435252649823881,1006
10,"equally abundant",0.688436,0.452253435558315,1007
10,"intermediate",0.667653200392574,0.409131709353514,1007
10,"extremely skewed",0.228959271209776,0.151473986528112,1007
20,"equally abundant",0.75851,0.48113001318062,1007
20,"intermediate",0.90903074892036,0.575906269941905,1007
20,"extremely skewed",0.186603283571982,0.119213605715367,1007
30,"equally abundant",0.750122,0.478669275212695,1007
30,"intermediate",0.739905740442669,0.471559985747459,1007
30,"extremely skewed",0.310251533752082,0.180569197190352,1007
40,"equally abundant",0.746964,0.481192101698334,1007
40,"intermediate",0.744080414821965,0.471602151410597,1007
40,"extremely skewed",0.131523917110313,0.0747084809294715,1007
50,"equally abundant",0.7696716,0.484197835428699,1007
50,"intermediate",0.75982246457581,0.49191092803911,1007
50,"extremely skewed",0.173274417542426,0.100971688512541,1007
60,"equally abundant",0.778636333333333,0.491725903035768,1007
60,"intermediate",0.789342780599727,0.495087840787183,1007
60,"extremely skewed",0.0143520538036523,0.00857866993814649,1007
70,"equally abundant",0.779915142857143,0.492516432086256,1007
70,"intermediate",0.77134125899224,0.497832778431116,1007
70,"extremely skewed",0.0153674986613178,0.0107463562004874,1007
80,"equally abundant",0.77103975,0.482513208603625,1007
80,"intermediate",0.768887969414854,0.48276823420151,1007
80,"extremely skewed",0.0159160553074138,0.0110145415468452,1007
100,"equally abundant",0.767546,0.470755211950578,1007
100,"intermediate",0.77922062358109,0.479612357495338,1007
100,"extremely skewed",0.0223290121767111,0.0144038588540639,1007
120,"equally abundant",0.773831166666667,0.473057840942884,1007
120,"intermediate",0.77454861522698,0.470227799476855,1007
120,"extremely skewed",0.135850769862091,0.0893414882784026,1007
150,"equally abundant",0.7948964,0.485753879595417,1007
150,"intermediate",0.814950296852889,0.504847595176163,1007
150,"extremely skewed",0.309709154585943,0.231189793040195,1007
180,"equally abundant",0.801824444444445,0.487400408516826,1007
180,"intermediate",0.795447749951308,0.479647334282209,1007
180,"extremely skewed",0.362651915419493,0.231015648990396,1007
200,"equally abundant",0.799819599999999,0.486791219991203,1007
200,"intermediate",0.797408705556382,0.48762652432533,1007
200,"extremely skewed",0.459564089319566,0.254004445972638,1007
10,"equally abundant",0.932948,0.501297451482188,1008
10,"intermediate",0.91916197387507,0.452846251096105,1008
10,"extremely skewed",0.222022531099082,0.145249525506704,1008
20,"equally abundant",0.903821,0.486354363373099,1008
20,"intermediate",0.895918920393597,0.478807746415451,1008
20,"extremely skewed",0.611170134978615,0.251234492471457,1008
30,"equally abundant",0.882553333333334,0.514045359168535,1008
30,"intermediate",0.854876623982023,0.509129145526063,1008
30,"extremely skewed",0.626298160403169,0.308543482330865,1008
40,"equally abundant",0.8368795,0.506628920323237,1008
40,"intermediate",0.832041053653388,0.502679208863114,1008
40,"extremely skewed",0.918361295591085,0.511930022125668,1008
50,"equally abundant",0.8311116,0.49535356110129,1008
50,"intermediate",0.831999761674187,0.488773234250671,1008
50,"extremely skewed",0.760530261963831,0.363627732266055,1008
60,"equally abundant",0.822426,0.489383379366322,1008
60,"intermediate",0.809825153604749,0.476145140037286,1008
60,"extremely skewed",0.91315710621994,0.333609725384073,1008
70,"equally abundant",0.826980285714286,0.490055423252724,1008
70,"intermediate",0.83552027407258,0.486611009046502,1008
70,"extremely skewed",1.04778289335446,0.48089624488204,1008
80,"equally abundant",0.81639975,0.485927509094252,1008
80,"intermediate",0.812464607822231,0.481374352734565,1008
80,"extremely skewed",0.459327938905361,0.22992428484741,1008
100,"equally abundant",0.8221052,0.490058135255459,1008
100,"intermediate",0.825430546836367,0.484960064347055,1008
100,"extremely skewed",0.311469523888324,0.158684152975617,1008
120,"equally abundant",0.827482833333334,0.495870250529181,1008
120,"intermediate",0.832252452381943,0.494569646192706,1008
120,"extremely skewed",0.352454837203145,0.225075333384382,1008
150,"equally abundant",0.834486400000001,0.496285025163242,1008
150,"intermediate",0.838576190094767,0.503867852173691,1008
150,"extremely skewed",0.762725092034632,0.293723524752698,1008
180,"equally abundant",0.829480555555555,0.490913591769601,1008
180,"intermediate",0.823959144337385,0.487053094569412,1008
180,"extremely skewed",1.08300151425302,0.513606954846589,1008
200,"equally abundant",0.8294525,0.493993441931632,1008
200,"intermediate",0.830276163064658,0.496081898281657,1008
200,"extremely skewed",0.827840376658952,0.407264053479435,1008
10,"equally abundant",0.8283,0.391241874487664,1009
10,"intermediate",0.866850442772286,0.376702862853629,1009
10,"extremely skewed",0.318961211685928,0.128152610114321,1009
20,"equally abundant",0.886541,0.44820376134008,1009
20,"intermediate",0.837996907953567,0.423170554080665,1009
20,"extremely skewed",0.0896862645974919,0.0538661573266376,1009
30,"equally abundant",0.873525333333333,0.464705397147246,1009
30,"intermediate",0.941806590106278,0.474264797407323,1009
30,"extremely skewed",0.745646690296646,0.320403188867662,1009
40,"equally abundant",0.8318315,0.460467284149061,1009
40,"intermediate",0.803399273432748,0.455521268187122,1009
40,"extremely skewed",0.520719395734182,0.235359850950295,1009
50,"equally abundant",0.8519444,0.463310595220873,1009
50,"intermediate",0.817826893826469,0.453917725439485,1009
50,"extremely skewed",0.348647652469065,0.181223515209158,1009
60,"equally abundant",0.837787,0.464898881169909,1009
60,"intermediate",0.86423505037312,0.467025485952045,1009
60,"extremely skewed",0.773871484920086,0.311593745139017,1009
70,"equally abundant",0.823077428571428,0.466886062566591,1009
70,"intermediate",0.829704941325839,0.455952073975142,1009
70,"extremely skewed",0.055326193244378,0.0394583144785877,1009
80,"equally abundant",0.81593725,0.479154907044485,1009
80,"intermediate",0.805975181244644,0.471724043104552,1009
80,"extremely skewed",0.619857901967587,0.318391318944477,1009
100,"equally abundant",0.8255134,0.479000200856208,1009
100,"intermediate",0.818525562621909,0.478235986342276,1009
100,"extremely skewed",0.712729848718483,0.358805112446679,1009
120,"equally abundant",0.830557,0.487412966759742,1009
120,"intermediate",0.838820365898471,0.49403103402412,1009
120,"extremely skewed",0.286615545239794,0.170365414442713,1009
150,"equally abundant",0.839739066666667,0.492179874969484,1009
150,"intermediate",0.83498428991056,0.484280786465718,1009
150,"extremely skewed",0.321612453076264,0.161951650921905,1009
180,"equally abundant",0.833113888888889,0.491710502307311,1009
180,"intermediate",0.832561465426468,0.488552257426134,1009
180,"extremely skewed",0.161593166837008,0.085945709161138,1009
200,"equally abundant",0.8295749,0.488723872183207,1009
200,"intermediate",0.831496905660022,0.493452741975163,1009
200,"extremely skewed",0.756079720048715,0.381716542534899,1009
10,"equally abundant",0.866562,0.43957287846758,1010
10,"intermediate",0.763441190293611,0.361153680940027,1010
10,"extremely skewed",0.0069740325806064,0.00484334542387528,1010
20,"equally abundant",0.86069,0.489274522215863,1010
20,"intermediate",0.920879948125736,0.486220915772537,1010
20,"extremely skewed",0.00894847120184169,0.00591318105184573,1010
30,"equally abundant",0.80476,0.480924834869941,1010
30,"intermediate",0.799256444233659,0.459299981833863,1010
