Well Label,Sample Name,Type,Size [kb],Conc. (ng/ul),Aligned Area,Migration Time(sec) - Start,Migration Time(sec) - End
E02,Beta2,LM,0.001,1,104.49882072304,,
E02,Beta2,,0.0255758030370578,0.0107206392246803,1.38604234646283,,
E02,Beta2,,0.766263381361499,0.0115417023983874,2.90327128202526,,
E02,Beta2,,1.3468437044886,0.088936780682717,20.698120109582,,
E02,Beta2,,2.49427750220579,0.119462530197692,26.3536205461971,,
E02,Beta2,,57.2509511178154,0.0701674596652581,4.74196744798346,,
E03,Beta3,LM,0.001,1,105.600017893149,,
E03,Beta3,,0.759946831551872,0.0136490650873042,3.47386591376256,,
E03,Beta3,,1.36196736646648,0.217437268875554,51.1062930670297,,
E03,Beta3,,2.62794404988898,0.276319714752574,61.1593344118229,,
E03,Beta3,,6.2787672774438,0.265722960935323,54.9601410733943,,
E03,Beta3,,17.358870284521,0.0217503368319497,3.4317636609235,,
E03,Beta3,,55.6564211141729,0.130745265994455,8.9289705388197,,
E04,Beta4,LM,0.001,1,95.790119869343,,
E04,Beta4,,0.786891576801422,0.0158795374149682,3.18305711181287,,
E04,Beta4,,1.45996887880756,0.113514862760733,21.368937495864,,
E04,Beta4,,2.8841046425124,0.260472171047296,46.195594357711,,
E05,Beta5,LM,0.001,1,97.3961011025173,,
E05,Beta5,,1.45210397834852,0.17010570225762,32.5693164984726,,
E05,Beta5,,3.05537898369753,0.298887891874786,53.6616524146153,,
E05,Beta5,,8.99288515658474,0.0898547034768533,13.3861304710356,,
E06,Beta6,LM,0.001,1,103.390575184661,,
E06,Beta6,,0.0273197786263649,0.0100563743334934,1.24636069032686,,
E06,Beta6,,0.787711224643307,0.027343842231965,5.91524529161438,,
E06,Beta6,,1.44896267491005,0.119066758225098,24.2033272897139,,
E06,Beta6,,2.88972321303224,0.196157299265196,37.5403786898326,,
E06,Beta6,,8.20041807086813,0.051675358523376,8.46618273989307,,
E07,Beta7,LM,0.001,1,99.4237835852072,,
E07,Beta7,,0.772334923490011,0.0201969183342811,4.21126021126971,,
E07,Beta7,,1.42897489717952,0.155813944096024,30.4826338459072,,
E07,Beta7,,1.80213589714943,0.00841173392971796,1.62071644318711,,
E07,Beta7,,2.81701644852243,0.185948802052786,34.3287034830792,,
E07,Beta7,,8.13114674556522,0.0472235240817794,7.4625672460462,,
E08,Beta8,LM,0.001,1,84.6441270982914,,
E08,Beta8,,0.0267549560135034,0.0121424266227653,1.22765355452226,,
E08,Beta8,,0.741571527766885,0.015702878698624,2.8003697291832,,
E08,Beta8,,1.29778371267377,0.131594856400135,22.034177206181,,
E08,Beta8,,2.94053145830439,0.534645316990803,83.6497606614422,,
E08,Beta8,,7.68489586027523,0.372651889806858,51.1123308196794,,
E08,Beta8,,130.924283318286,0.14955363198274,5.89525086989644,,
E09,Beta9,LM,0.001,1,90.9995243963895,,
E09,Beta9,,0.759122130352253,0.0288086468161362,5.50883671908936,,
E09,Beta9,,1.40631969380512,0.297419538554033,53.304449007143,,
E09,Beta9,,3.7924224101649,0.799678627782585,131.785193097691,,
E09,Beta9,,15.2292914635764,0.55541409834312,65.0173050410169,,
E09,Beta9,,25.2423111312519,0.525899430863243,45.6860821194372,,
E09,Beta9,,124.318505737726,8.15921167949931,345.776774537091,,
E10,Beta10,LM,0.001,1,98.9256904699691,,
E10,Beta10,,0.027613580159694,0.0109504441963438,1.30096362013928,,
E10,Beta10,,0.773717888860109,0.0192424507435997,3.99131415004027,,
E10,Beta10,,1.45030693859652,0.243209644390841,47.3009401046055,,
E10,Beta10,,3.75665459464927,0.646746113630289,115.966318306723,,
E10,Beta10,,15.2175134657046,0.834086510625673,106.175631182381,,
E10,Beta10,,70.0816394840075,0.171807978523648,7.91518215760689,,
E10,Beta10,,142.491145904103,10.0461004736962,462.823181473969,,
E11,Beta11,LM,0.001,1,100.129011582047,,
E11,Beta11,,0.750548305365995,0.017204434083465,3.6245674519434,,
E11,Beta11,,1.33632111812698,0.141444748745109,27.9725438385535,,
E11,Beta11,,3.12485721688297,0.463838221370598,85.4713103469165,,
E11,Beta11,,8.84180036387982,0.396516684966403,61.1452638958062,,
E11,Beta11,,115.698494105546,0.300896191344538,14.0308866299894,,
E12,Beta12,LM,0.001,1,93.9682070615371,,
E12,Beta12,,0.02769450173487,0.0116412060187858,1.31438968120569,,
E12,Beta12,,0.758337129353795,0.0152284909405471,3.0073698562404,,
E12,Beta12,,1.35318824017077,0.0992155293491222,18.4013482713768,,
E12,Beta12,,2.9466537929479,0.32901627033258,57.1395971617461,,
E13,Beta13,LM,0.001,1,99.2764674580602,,
E13,Beta13,,0.770170113932244,0.0194862265656933,4.05837307696859,,
E13,Beta13,,1.41398608311914,0.149729414410239,29.2666704798443,,
E13,Beta13,,3.23133388976503,0.471009785272294,85.8349244448184,,
E13,Beta13,,9.14922514372282,0.416457147565935,62.7907632559928,,
E13,Beta13,,118.483695868424,1.0488713363718,48.4927739929127,,
E14,Beta14,LM,0.001,1,89.2604833576354,,
E14,Beta14,,0.735164382844567,0.0170088765221582,3.20176942715528,,
E14,Beta14,,1.3429571365353,0.172813480340205,30.4582933135384,,
E14,Beta14,,3.32409417247302,0.537377401134456,87.8537876195936,,
E14,Beta14,,15.3902495127456,0.191646095070938,21.9143215531408,,
E15,Beta15,LM,0.001,1,96.8605435633568,,
E15,Beta15,,0.751601655117355,0.0266443474584676,5.42924383757066,,
E15,Beta15,,1.3506953246441,0.138089502164549,26.4022172394682,,
E15,Beta15,,3.40491572829021,0.440315723279468,77.9631881605816,,
E15,Beta15,,138.369301116953,6.56112034408193,295.960260841694,,
E16,Beta16,LM,0.001,1,83.8982979193122,,
E16,Beta16,,0.773837168779856,0.0199260067083953,3.23496046596342,,
E16,Beta16,,1.41663044406578,0.206185202697794,31.349023296873,,
E16,Beta16,,3.37282029159692,0.60007817353456,84.0971069206998,,
E16,Beta16,,9.82201252673185,0.502324396891159,57.5536078121667,,
E16,Beta16,,115.043909222189,1.85143242003627,60.5452426694912,,
E17,Beta17,LM,0.001,1,97.1195105119791,,
E17,Beta17,,0.777709370512035,0.0239726728987809,4.50282354095814,,
E17,Beta17,,1.40764730957212,0.168304916174417,29.6384778913665,,
E17,Beta17,,3.16550939643627,0.452559482904824,73.8203499889869,,
E17,Beta17,,9.36388317372807,0.463362416640854,62.5642504669417,,
F06,Beta18,LM,0.001,1,94.7856858586848,,
F06,Beta18,,0.90013564930632,0.0374661510223663,6.56746446654928,,
F06,Beta18,,1.82560260664018,0.265866164589601,42.419618094865,,
F06,Beta18,,6.17706141071565,0.725636277902857,103.831595930147,,
F01,Beta19,LM,0.001,1,99.4147569853379,,
F01,Beta19,,0.0286937355432098,0.0105792393687537,1.2526423559722,,
F01,Beta19,,1.45643856629916,0.122190251702972,21.9603382156814,,
F01,Beta19,,3.12363332658148,0.296414943474581,49.5476244820965,,
F01,Beta19,,7.21547452863546,0.0236336852666788,3.53789910300074,,
F02,Beta20,LM,0.001,1,107.187201247226,,
F02,Beta20,,0.0287591409640677,0.0116502959940373,1.48787402669505,,
F02,Beta20,,1.4561731600375,0.0968641619182792,18.770020797879,,
F02,Beta20,,3.03296215114603,0.203827764764441,36.8223257273462,,
F02,Beta20,,59.6683358341269,0.131085889101531,5.47668654478912,,
F02,Beta20,,115.785253022949,0.214381172653757,8.95671144908323,,
F03,Beta21,LM,0.001,1,105.685101399004,,
F03,Beta21,,0.0287899075662348,0.0105610211302934,1.33009695900895,,
F03,Beta21,,0.773319310771028,0.014395662628265,2.94423323969378,,
F03,Beta21,,1.39629181450882,0.197966093877007,37.9629037255903,,
F03,Beta21,,1.88475459672923,0.0144344501298953,2.68518554469252,,
F03,Beta21,,3.20808748322722,0.312433225370346,55.3960032032966,,
F03,Beta21,,23.4815773421925,0.114724558031365,11.1768993752826,,
F04,Beta22,LM,0.001,1,100.891871799502,,
F04,Beta22,,0.770817053354179,0.0134323185850968,2.62352257093521,,
F04,Beta22,,1.4361617788229,0.246468332938576,45.0101088046434,,
F04,Beta22,,3.50532738004346,0.388918208194244,65.3146186752316,,
F04,Beta22,,6.89029401842967,0.134519883344076,20.6543857565207,,
F04,Beta22,,23.958579925441,0.47158530863708,43.1288909949819,,
F04,Beta22,,129.607974978456,0.130315154248957,5.12471964291019,,
F04,Beta22,,141.060483927292,0.201452578386164,7.92224044486937,,
