"size_difference","shared_otu","comA_HMAa","comB_HMAa","All_HMAa","HMAb","Rao_beta","UniFrac","seed"
40,0,0.306621299293298,0.426915985777581,0.452399101515845,0.171260917960812,0.0912094619738748,0.800769091217981,1004
60,0,0.322706366995881,0.350276129499557,0.391041939331258,0.109101382167077,0.0779626938593025,0.602598455100226,1004
0,0,0.285608169001562,0.293511365456642,0.372866431742077,0.16661332902595,0.131752519622831,0.812784240107013,1004
20,0,0.300111914246215,0.360027061819117,0.372981523151715,0.0858240702380983,0.0650980882874815,0.528340986066678,1004
40,0,0.376028999051784,0.29498277463447,0.37079349448589,0.070575215285527,0.0601771898876702,0.586353972120204,1004
80,0,0.337717783467074,0.296741425366246,0.380041593200877,0.125623977568433,0.0995247252366135,0.718970621936339,1004
0,0,0.396049030356886,0.328526717169779,0.418913899473713,0.113252051420761,0.0666903197962332,0.670870110256434,1004
20,0,0.276705279712324,0.379419681498602,0.416664346618392,0.177203732025859,0.091358504831052,0.546791802602201,1004
40,0,0.389885234446077,0.342389157115818,0.410659286852497,0.0890441821430991,0.0564875898253165,0.699006084505629,1004
80,0,0.336102286188915,0.410854748237265,0.441693798441959,0.136430562457739,0.0725633922954046,0.739309238423029,1004
0,0,0.00471163712297765,0.171061251772838,0.288268786739721,0.400764684583626,0.346650201500593,0.789953004484164,1005
20,0,0.00471163712297765,0.140003837917014,0.205481781276835,0.266248087513678,0.292319161737132,0.555716799840107,1005
40,0,0.00667378004582694,0.124939198233624,0.248664797818525,0.365716617357599,0.345832341525053,0.805829050960112,1005
60,0,0.00648294182177569,0.17638451211508,0.264896485773188,0.346925517609521,0.324574626619724,0.807371585225237,1005
0,0,0.0576419701304033,0.0118687464115956,0.256068911151755,0.44262710576151,0.398584578120641,0.833143552430458,1005
20,0,0.0126131354676656,0.148378899356118,0.188912642542909,0.216833250262035,0.260698971782673,0.827484983549384,1005
40,0,0.011742996076526,0.138413565256727,0.285729085217338,0.421301609101424,0.366318018843207,0.819300933382955,1005
60,0,0.0164696484887943,0.174989415434173,0.340678981634441,0.489898899345914,0.382271371036896,0.899629189373381,1005
0,0,0.0780213802468018,0.01684438650329,0.221719675053397,0.348573583356703,0.35013798840322,0.805034860995031,1005
20,0,0.0774471266688454,0.0192555106256295,0.248436970841767,0.400171304389058,0.372470953489904,0.829233619583498,1005
40,0,0.00807925819628406,0.167988674040546,0.173371432510289,0.170674932783749,0.232208791949872,0.358096011315979,1005
80,0,0.0113466264539479,0.244583910827636,0.280970681865277,0.306010826448969,0.286371662898407,0.726005139189409,1005
0,0,0.0250526524754571,0.301705377225556,0.277216862332223,0.227675694963432,0.228225645455053,0.538077561646614,1005
20,0,0.0172507467512436,0.18167540701858,0.296061578455238,0.393197003140651,0.340375200268632,0.804494863347323,1005
40,1,0.0200651488158367,0.245672583794288,0.320935158368313,0.3761325841265,0.312863655825278,0.794045251482777,1005
80,1,0.0202183439244851,0.297902322307843,0.315566377718106,0.313012089203885,0.271507331795635,0.848376473155044,1005
0,0,0.170402408975416,0.0663718406839383,0.284531472358468,0.332288695057581,0.301945831233975,0.921378408471816,1006
20,0,0.18034320202652,0.0900789396558663,0.327298321189627,0.384174500696869,0.315512752420381,0.91523325198047,1006
40,0,0.116380582604389,0.149295664778855,0.363221365910225,0.460766484437207,0.340604668308023,0.8576308158956,1006
60,0,0.185686128321555,0.18646841975531,0.368042841520399,0.363931134963932,0.277019654642986,0.826520606847123,1006
0,0,0.145225145081637,0.205090572115219,0.356655668888655,0.362995620580455,0.283265305221211,0.842857068921848,1006
20,0,0.0928031591957878,0.300209314567369,0.340791914777131,0.288571355791106,0.234309443175575,0.769421418460369,1006
40,0,0.243596840396131,0.302619403210303,0.375708701283917,0.2052011589614,0.160172128925202,0.755116510949802,1006
60,0,0.209228250593817,0.343480326328431,0.389436446215123,0.226164315507997,0.160327494802824,0.73433744670751,1006
0,0,0.190373548009659,0.0225405867686896,0.347361893868104,0.48180965295786,0.372363116651165,0.887443440638848,1006
20,0,0.166466924165955,0.0841576011746943,0.337576654614255,0.42452878388786,0.338376595962256,0.836943802261743,1006
40,0,0.213017737901547,0.0333533288805655,0.321221924632804,0.396072782483496,0.327934909153425,0.782496149127505,1006
80,0,0.184944689968143,0.0904378987368224,0.309137691805862,0.342892794906759,0.296434985710505,0.768268320960434,1006
0,0,0.207271568820406,0.244790928494737,0.361728815488877,0.27139513366261,0.209948033231147,0.697417217114476,1006
20,0,0.177800369381525,0.291082463155215,0.351885421163671,0.234888009790602,0.193501855663644,0.794207409366881,1006
40,0,0.180058277341111,0.0498859052832461,0.305815407478973,0.381686632333589,0.327241589833485,0.824909569315354,1006
80,0,0.18432632057523,0.0798241544545679,0.300086926239008,0.336023377448218,0.297200768517996,0.832039446558319,1006
0,0,0.0546088857306557,0.118866526174936,0.292594113880355,0.411712815855118,0.346561174914077,0.85609137567771,1007
20,0,0.154317121151044,0.0868330184504268,0.330940732553391,0.420731325505312,0.33979192020834,0.82333895002265,1007
40,0,0.052946772619353,0.155709436381305,0.301789893662323,0.394923578323988,0.338724512838538,0.799445666192519,1007
60,0,0.0180716016742102,0.118927744476528,0.278430217115052,0.419861088079366,0.369614946288997,0.814333712805463,1007
0,0,0.0986171229364873,0.131633535190365,0.330066290935784,0.429881923744716,0.345087358549566,0.78008625009082,1007
20,0,0.0290676555161641,0.102005266312258,0.278154965554697,0.425237009280971,0.37320223370831,0.810182829032961,1007
40,0,0.020468822416421,0.0106462826774819,0.200214922939386,0.369314740784868,0.3753053606544,0.839874648867774,1007
60,0,0.0290676555161641,0.00751446403762482,0.0937541087779139,0.150926098002039,0.25289209069148,0.472251307806064,1007
0,0,0.0479909263175768,0.142048610885442,0.320237001569869,0.450434465936719,0.367311997613496,0.812713211813312,1007
20,0,0.0434679683641189,0.129051442581868,0.295174624969598,0.417829838993209,0.358958147359086,0.823349007900237,1007
